;index;type;name;geometry_name;lon;lat;geometry;K_distance;distance_to_center;normalize_name;okato;prc_children_1_6;region_average_age;count_nearest_postamats;count_nearest_pvz;count_nearest_pvz_shop;food_delivery;velo_parking;digitalization;digitalization_without_postamat;covering_postamats;count_nearest_metro;count_nearest_ngpt;count_nearest_auto_parking;transportization;level_working_region;level_sleeping_region;count_house_flat;population_house_flat;population_house_square;population_house_living_square;count_nearest_postamats_x2;count_nearest_postamats_x3;level_sleep_work_region;region_population;average_salary;average_employees;prc_employees_small_businesses;count_small_enterprises;investments;price_metr_housing;cost_apartment;rating_ecology;entertainment_infrastructure;house_infrastructure_rating;prc_xenophobic;area_per_human_region;population_density_region;population_region;prc_people_higher_education;death_rate;total_fertility_rate;prc_children_5_18;migration_population_growth;natural_population_growth;budget_expenditures;budget_revenues
18546;126;Hexagon_7;8711aa624ffffff;8611aa627ffffff;37.63371654250186;55.857784100431424;POLYGON ((37.61435522177402 55.85245485684025, 37.63112439445571 55.84507535764272, 37.65048709044533 55.850401856210844, 37.653085983099174 55.86311107638035, 37.636310351111106 55.87049261371315, 37.616942286023075 55.865162891898926, 37.61435522177402 55.85245485684025));1.36437;11.566988392619022;свиблово;45280580000;6.21;39.0;73;21;32;10;42;2.003118155152022;1.4318138073259352;94;5;93;72;0.7955418380010193;37884;32599;36123;115602;101711;82349;254;537;0.8604951958610495;61900;75922;5769;53.15;292;1704;196525;34595;87;89;81;15.41;17.9;14061;61900;41.68;9.4;7.0;11.55;6.2;-2.4;20051;25647
18954;249;Hexagon_7;8711aa794ffffff;8611aa797ffffff;37.573186337718234;55.64909611067582;POLYGON ((37.55394034850923 55.64377241069621, 37.570627211690905 55.63638436991163, 37.58987457622609 55.641705339538184, 37.5924403692712 55.65441757452182, 37.57574709469685 55.66180764403803, 37.55649443872799 55.6564834490068, 37.55394034850923 55.64377241069621));1.36437;12.07096412144252;зюзино;45293562000;6.06;41.7;40;10;10;8;8;0.9615604509932011;0.6485169727323314;50;7;69;41;0.6906844361624735;17146;20303;34778;111302;91777;77868;235;493;1.184124577160854;126500;68328;5653;52.88;178;10274;184564;33660;63;28;78;21.83;17.6;23224;126500;42.86;9.9;7.7;10.71;14.0;-2.2;26627;25897
19741;112;Hexagon_7;8711aa614ffffff;8611aa617ffffff;37.72642139511093;55.77529930395503;POLYGON ((37.70707209859917 55.769987962300654, 37.72380382817346 55.762585666616545, 37.743154472923194 55.76789426314031, 37.745778772131246 55.78060837565011, 37.72904063578827 55.788012718026756, 37.709684607229974 55.78270090036006, 37.70707209859917 55.769987962300654));1.36437;7.047180013418052;соколиная гора;45263588000;5.39;41.4;65;28;51;9;24;1.8245390513031805;1.3158433991292675;93;9;115;109;1.1636044014611888;84350;47664;33391;106858;94624;79396;176;476;0.5650740960284528;90500;80232;221192;9.34;541;21790;177535;34286;26;57;75;17.39;18.1;11618;90500;47.65;9.7;10.3;10.29;23.7;0.6;21445;19921
20465;186;Hexagon_7;8711aa70affffff;8611aa70fffffff;37.59758234495653;55.859830903728216;POLYGON ((37.57823052721906 55.85449665227394, 37.595002020229735 55.84712334867913, 37.61435522177402 55.85245485684025, 37.616942286023075 55.865162891898926, 37.600164322655104 55.872538229837495, 37.58080576565155 55.86720349753213, 37.57823052721906 55.85449665227394));1.36437;11.853820249236284;отрадное;45280574000;6.12;40.8;86;28;33;9;46;2.1953007534580937;1.5222572751972243;114;6;94;106;0.9458572423371238;49739;59851;49672;158953;122384;114046;274;568;1.203301232433302;184500;69602;13799;46.12;220;50027;158967;31579;66;67;85;18.06;18.0;18190;184500;42.91;9.9;9.2;10.83;17.2;-0.7;31380;32856
21064;106;Hexagon_7;8711aa606ffffff;8611aa607ffffff;37.73428414474422;55.813438871065664;POLYGON ((37.71491463836509 55.808126104217436, 37.73166155180041 55.800725907505644, 37.75103240708841 55.806035926698506, 37.753661746038475 55.81874936258395, 37.73690841621866 55.82615160738085, 37.717532164056124 55.82083836736442, 37.71491463836509 55.808126104217436));1.36437;9.717873738500588;богородское;45263552000;6.74;41.9;59;24;27;8;19;1.5701707075731501;1.1084315771383677;83;4;79;102;0.7906418376119915;29040;33992;31779;101714;76123;65477;168;294;1.1705234159779614;107900;63476;9328;51.39;300;147;163596;33778;81;8;79;18.11;18.9;10558;107900;35.92;11.0;10.5;12.43;5.6;-0.5;22267;27032
21065;133;Hexagon_7;8711aa631ffffff;8611aa637ffffff;37.698164010972704;55.81552285329614;POLYGON ((37.67880395631514 55.81020506824531, 37.695553226254276 55.802811065107996, 37.71491463836509 55.808126104217436, 37.717532164056124 55.82083836736442, 37.70077646665065 55.828234414810495, 37.68140967125196 55.82291615395883, 37.67880395631514 55.81020506824531));1.36437;8.388148944405671;богородское;45263552000;6.74;41.9;50;23;13;6;8;1.248240826925239;0.8569364790991522;73;4;76;85;0.7267476103963806;741;422;27233;87151;71635;55768;148;341;0.5695006747638327;107900;63476;9328;51.39;300;147;163596;33778;81;8;79;18.11;18.9;10558;107900;35.92;11.0;10.5;12.43;5.6;-0.5;22267;27032
21743;161;Hexagon_7;8711aa6a5ffffff;8611aa6a7ffffff;37.75463016655437;55.73505549304251;POLYGON ((37.735291629217684 55.72975059358765, 37.75200584585021 55.72234001976609, 37.771345722249094 55.7276421749049, 37.77397676652706 55.74035812356747, 37.7572561637546 55.74777074646343, 37.73791090306085 55.742465370782405, 37.735291629217684 55.72975059358765));1.36437;8.681925048121292;нижегородский;45290578000;6.97;40.1;55;23;22;5;18;1.482713989784053;1.0522792071753575;78;9;84;88;0.9778016813784036;40073;43201;20333;65228;56567;41852;231;454;1.0780575449804108;45200;50059;18606;49.79;879;274640;161292;33333;21;58;66;14.6;14.4;5972;45200;31.01;8.6;7.0;11.0;2.4;-1.6;20889;20138
22113;196;Hexagon_7;8711aa715ffffff;8611aa717ffffff;37.49581270463201;55.80772659559295;POLYGON ((37.47651490933516 55.80238205609343, 37.49326926048486 55.79502102281719, 37.512568459660095 55.80036282713844, 37.515118610018455 55.81306889070631, 37.498357775777315 55.820431946772906, 37.479053274548484 55.81508691564444, 37.47651490933516 55.80238205609343));1.36437;9.842858486218239;сокол;45277589000;4.95;39.8;53;31;31;11;42;1.9352069270039434;1.5204243183082915;84;10;122;62;1.088947524032196;80121;45577;33087;105944;122543;92537;215;436;0.5688521111818374;59200;84336;17992;32.63;416;15128;211670;37838;42;77;84;13.61;21.0;15954;59200;71.76;8.8;6.2;11.17;18.4;-2.6;42273;40874
22528;276;Hexagon_7;8711aa7b3ffffff;8611aa7b7ffffff;37.55905015693365;55.66919427952906;POLYGON ((37.53979888088513 55.66386735375602, 37.55649443872799 55.6564834490068, 37.57574709469685 55.66180764403803, 37.578309484176174 55.67451896867555, 37.5616075046731 55.68190490094074, 37.542349557612575 55.67657748021979, 37.53979888088513 55.66386735375602));1.36437;10.220031556189756;черёмушки;45293590000;5.99;41.2;80;22;46;12;16;1.8271274979469903;1.2010405414252512;102;8;115;85;1.0478795064014534;67588;37213;54114;173193;174445;144864;309;551;0.5505859028229864;108600;141787;35932;24.29;288;78977;200662;35789;72;39;90;16.09;21.8;19845;108600;47.22;7.1;7.6;11.07;11.1;0.5;20906;23357
23065;179;Hexagon_7;8711aa702ffffff;8611aa707ffffff;37.51767039193116;55.82577473174039;POLYGON ((37.498357775777315 55.820431946772906, 37.515118610018455 55.81306889070631, 37.534432626221474 55.818408938370034, 37.53699112373676 55.831115267481714, 37.52022380695435 55.838480348920996, 37.50090447547238 55.833137075037776, 37.498357775777315 55.820431946772906));1.36437;10.260344179948689;коптево;45277580000;6.85;41.0;76;32;35;13;32;2.1441400344706363;1.5493574257749845;108;7;90;123;1.0244470941564126;42074;24357;35101;112351;139361;86449;201;466;0.5789085896277987;101500;80913;10611;41.57;209;4547;169000;32727;71;48;80;23.54;18.3;18939;101500;48.79;10.6;7.0;13.01;19.4;-3.6;23748;28262
