;index;type;name;geometry_name;lon;lat;geometry;K_distance;distance_to_center;normalize_name;okato;prc_children_1_6;region_average_age;count_nearest_postamats;count_nearest_pvz;count_nearest_pvz_shop;food_delivery;velo_parking;digitalization;digitalization_without_postamat;covering_postamats;count_nearest_metro;count_nearest_ngpt;count_nearest_auto_parking;transportization;level_working_region;level_sleeping_region;count_house_flat;population_house_flat;population_house_square;population_house_living_square;count_nearest_postamats_x2;count_nearest_postamats_x3;level_sleep_work_region;region_population;average_salary;average_employees;prc_employees_small_businesses;count_small_enterprises;investments;price_metr_housing;cost_apartment;rating_ecology;entertainment_infrastructure;house_infrastructure_rating;prc_xenophobic;area_per_human_region;population_density_region;population_region;prc_people_higher_education;death_rate;total_fertility_rate;prc_children_5_18;migration_population_growth;natural_population_growth;budget_expenditures;budget_revenues
27251;231;Hexagon_7;8711aa780ffffff;8611aa787ffffff;37.60271991164744;55.70526441783488;POLYGON ((37.58343916684417 55.699940986485515, 37.6001475674124 55.692553024146285, 37.619429684477545 55.697873720533565, 37.62200871859449 55.7105856029167, 37.60529389757446 55.717975597891744, 37.586006463141366 55.712651677012644, 37.58343916684417 55.699940986485515));1.36437;5.558226245776869;донской;45296561000;6.59;40.8;48;19;67;9;6;1.5052722105754544;1.1296200366624112;67;12;91;51;1.0180301768909672;118071;47840;24222;77519;73540;57010;183;463;0.40517993410744385;51800;104715;39537;32.56;808;249917;217487;40000;33;83;55;14.32;17.9;9045;51800;49.68;6.3;7.8;12.53;19.4;1.5;18348;19855
27640;10;Hexagon_7;871181b4dffffff;861181b4fffffff;37.76702929291769;55.61848449978556;POLYGON ((37.74774170836147 55.61318891986097, 37.76440828873659 55.6057659330535, 37.78369720195306 55.61105877450187, 37.786324893786585 55.623777822517255, 37.76965196678701 55.63120285804841, 37.750357694790345 55.62590679600502, 37.74774170836147 55.61318891986097));1.36437;17.691461749514776;зябликово;45296565000;6.6;39.5;36;8;8;3;9;0.8818845116256563;0.6001453811908736;44;4;46;37;0.46203846707462726;15205;41503;10344;33100;25619;18914;172;384;2.729562643867149;133000;72572;3331;55.15;144;1754;150000;30189;36;33;81;20.62;14.3;30387;133000;42.75;9.5;8.6;12.64;7.8;-0.9;25435;23497
27641;21;Hexagon_7;871181b6bffffff;861181b6fffffff;37.731071443219896;55.620608478033006;POLYGON ((37.711793211443485 55.615307907176216, 37.72846213949209 55.6078910857868, 37.74774170836147 55.61318891986097, 37.750357694790345 55.62590679600502, 37.73368240917011 55.633325662369984, 37.71439749491307 55.6280246067806, 37.711793211443485 55.615307907176216));1.36437;16.411993686737755;зябликово;45296565000;6.6;39.5;106;24;26;12;33;2.22333804956257;1.393772832171266;130;6;118;89;0.9876859066877779;30395;64402;33707;107862;83422;72061;276;454;2.1188353347590065;133000;72572;3331;55.15;144;1754;150000;30189;36;33;81;20.62;14.3;30387;133000;42.75;9.5;8.6;12.64;7.8;-0.9;25435;23497
28667;23;Hexagon_7;871181b6dffffff;861181b6fffffff;37.681038555224326;55.64284657285367;POLYGON ((37.66176436068919 55.63753779424288, 37.67844432043397 55.630131262189785, 37.69771986504535 55.63543730531624, 37.7003207818633 55.64815310238186, 37.68363444339093 55.655561674455114, 37.66435356706077 55.65025240860811, 37.66176436068919 55.63753779424288));1.36437;12.962373479274861;москворечье-сабурово;45296569000;6.66;41.0;47;8;7;3;20;1.0520794176711115;0.6842533307145895;55;2;52;25;0.36451210071153195;10520;17930;26038;83324;65742;61173;158;404;1.7043726235741445;80400;70149;15582;37.69;266;4204;155172;31061;13;37;51;19.5;16.7;8657;80400;39.66;2.3;8.2;8.26;27.1;5.9;19372;23780
28668;248;Hexagon_7;8711aa793ffffff;8611aa797ffffff;37.64508072693386;55.644940894948434;POLYGON ((37.62581592234564 55.639627136521234, 37.64249819759982 55.63222676959404, 37.66176436068919 55.63753779424288, 37.66435356706077 55.65025240860811, 37.647664902168735 55.65765481179619, 37.628393420784015 55.65234056352445, 37.62581592234564 55.639627136521234));1.36437;12.256686261934298;москворечье-сабурово;45296569000;6.66;41.0;40;16;40;6;20;1.3526399462303609;1.0395964679694916;56;6;65;41;0.6329165224021693;26275;25513;16726;53525;44020;39036;189;427;0.9709990485252141;80400;70149;15582;37.69;266;4204;155172;31061;13;37;51;19.5;16.7;8657;80400;39.66;2.3;8.2;8.26;27.1;5.9;19372;23780
29036;11;Hexagon_7;871181b60ffffff;861181b67ffffff;37.61552232687261;55.58877136607765;POLYGON ((37.596292200207074 55.58345734176988, 37.61295301980422 55.576056914481015, 37.63218450807198 55.58136820960773, 37.634760469397776 55.59408315573979, 37.61809326910886 55.60148561540439, 37.59885648843284 55.59617109573047, 37.596292200207074 55.58345734176988));1.36437;18.416067430323853;бирюлёво западное;45296555000;6.53;39.3;54;21;47;13;11;1.6514050965163596;1.2287964008641856;75;5;63;19;0.5154952713663825;14854;26555;26002;83210;69429;62264;215;371;1.7877339437188635;88300;80961;3107;40.15;102;3344;120455;27059;11;3;72;25.05;13.7;10388;88300;32.43;9.3;8.9;13.15;14.9;-0.4;23246;23906
29037;12;Hexagon_7;871181b61ffffff;861181b67ffffff;37.63733807039031;55.60679789866484;POLYGON ((37.61809326910886 55.60148561540439, 37.634760469397776 55.59408315573979, 37.654006628455 55.59939270771942, 37.65659089294932 55.61210794247313, 37.63991731260512 55.619512437057885, 37.62066584806407 55.614199661136816, 37.61809326910886 55.60148561540439));1.36437;16.440062385213167;бирюлёво западное;45296555000;6.53;39.3;15;5;13;0;6;0.6039573130551488;0.4865660087073227;20;5;48;13;0.4383554236318863;35932;51509;11125;35600;25795;24614;213;437;1.433513302905488;88300;80961;3107;40.15;102;3344;120455;27059;11;3;72;25.05;13.7;10388;88300;32.43;9.3;8.9;13.15;14.9;-0.4;23246;23906
29038;14;Hexagon_7;871181b63ffffff;861181b67ffffff;37.65142400813036;55.58667726882043;POLYGON ((37.63218450807198 55.58136820960773, 37.64884303041731 55.57396162710162, 37.66808388369505 55.579267955428485, 37.670671520645485 55.591984089082786, 37.654006628455 55.59939270771942, 37.634760469397776 55.59408315573979, 37.63218450807198 55.58136820960773));1.36437;18.747022794084142;бирюлёво западное;45296555000;6.53;39.3;77;17;15;7;24;1.6302041161242025;1.0275954204720288;94;0;107;65;0.6183624066819425;15953;22465;49134;157228;116416;108602;150;332;1.4081990848116341;88300;80961;3107;40.15;102;3344;120455;27059;11;3;72;25.05;13.7;10388;88300;32.43;9.3;8.9;13.15;14.9;-0.4;23246;23906
29367;204;Hexagon_7;8711aa71effffff;8611aa71fffffff;37.56794604167803;55.80366700448834;POLYGON ((37.548629238530424 55.798332432779986, 37.56537902949585 55.79095903245994, 37.584697219543024 55.79629086551932, 37.58727094812643 55.80899932311026, 37.57051469597459 55.8163747538052, 37.55119117668784 55.811039695695854, 37.548629238530424 55.798332432779986));1.36437;6.4267808095517305;савёловский;45277586000;6.86;40.3;78;28;44;17;21;2.11762147448077;1.5071866918720747;106;11;136;98;1.2963015121512853;85851;40552;41830;133882;115265;97226;237;443;0.4723532632118438;59200;104698;26952;28.27;415;610220;196081;38667;35;59;92;12.94;19.1;21920;59200;49.72;9.5;13.5;14.01;4.5;4.0;19753;19333
29739;184;Hexagon_7;8711aa708ffffff;8611aa70fffffff;37.583382654047504;55.8799101134727;POLYGON ((37.56402548551065 55.87457263747889, 37.58080576565155 55.86720349753213, 37.600164322655104 55.872538229837495, 37.60274795490387 55.885245325685375, 37.58596119398271 55.89261649877451, 37.56659728185296 55.8872785420314, 37.56402548551065 55.87457263747889));1.36437;14.194290917393918;алтуфьевский;45280554000;6.63;39.5;75;34;42;6;25;2.011447544358529;1.4244910226193985;109;4;88;96;0.8074778934919531;7578;15595;43014;137656;113087;101277;335;572;2.0579308524676696;57300;65083;2356;63.46;184;11657;144260;30769;45;42;78;19.21;14.3;17664;57300;40.52;8.7;8.3;13.37;16.4;-0.4;19995;19358
29971;41;Hexagon_7;8711aa0d6ffffff;8611aa0d7ffffff;37.38846702341163;55.90997633926256;POLYGON ((37.36915233523297 55.90461068191988, 37.38595275609552 55.89727668962418, 37.40526888009448 55.90263961163504, 37.40778986984187 55.915339754183435, 37.390982902775136 55.92267575936909, 37.37166149247203 55.91730960827784, 37.36915233523297 55.90461068191988));1.36437;22.640102183782773;куркино;45283555000;7.65;32.9;52;13;5;4;5;1.26267974508523;0.8557232233460996;65;0;37;10;0.17555436469805605;5442;11919;4062;12998;20468;17608;116;193;2.1901874310915104;32800;57958;446;89.51;584;61;166667;28235;114;39;46;13.26;32.5;4217;32800;75.23;4.6;10.7;15.92;22.2;6.1;38852;31049
29972;210;Hexagon_7;8711aa725ffffff;8611aa727ffffff;37.40274950542743;55.88993923993486;POLYGON ((37.383440099287576 55.88457681176932, 37.400231744298836 55.87723864039883, 37.419542581545926 55.88259833360978, 37.422067060836646 55.89529942615304, 37.40526888009448 55.90263961163504, 37.38595275609552 55.89727668962418, 37.383440099287576 55.88457681176932));1.36437;20.37162611402804;куркино;45283555000;7.65;32.9;70;12;6;8;4;1.4617600946163471;0.9139340076598252;82;0;44;18;0.2275038805528864;5432;11992;7939;25404;34949;30540;180;321;2.207658321060383;32800;57958;446;89.51;584;61;166667;28235;114;39;46;13.26;32.5;4217;32800;75.23;4.6;10.7;15.92;22.2;6.1;38852;31049
31005;235;Hexagon_7;8711aa784ffffff;8611aa787ffffff;37.56672709495037;55.707325511143615;POLYGON ((37.54745579230549 55.70199710333622, 37.5641664834951 55.69461531191963, 37.58343916684417 55.699940986485515, 37.586006463141366 55.712651677012644, 37.56928934059166 55.720035497290546, 37.550011353365434 55.7147065973456, 37.54745579230549 55.70199710333622));1.36437;6.216312586407452;гагаринский;45293558000;5.69;43.7;21;12;18;3;5;0.683132933619118;0.5187851075321613;33;9;71;21;0.7213765945279341;92810;38618;14872;47597;59561;44485;155;404;0.4160974032970585;79700;90864;27721;21.96;305;10743;257069;40000;68;95;75;8.92;22.4;14651;79700;69.16;7.6;9.0;9.14;5.5;1.4;58082;56641
31006;274;Hexagon_7;8711aa7b1ffffff;8611aa7b7ffffff;37.544901860903934;55.68928739718709;POLYGON ((37.525645298367735 55.68395724533653, 37.542349557612575 55.67657748021979, 37.5616075046731 55.68190490094074, 37.5641664834951 55.69461531191963, 37.54745579230549 55.70199710333622, 37.52819255450402 55.69666645664092, 37.525645298367735 55.68395724533653));1.36437;8.648193517349199;гагаринский;45293558000;5.69;43.7;61;30;37;10;23;1.7188234707035168;1.2414321663556909;91;9;122;41;0.9824250829601908;54011;27163;39816;127546;171503;132064;214;468;0.5029160726518672;79700;90864;27721;21.96;305;10743;257069;40000;68;95;75;8.92;22.4;14651;79700;69.16;7.6;9.0;9.14;5.5;1.4;58082;56641
31327;51;Hexagon_7;8711aa448ffffff;8611aa44fffffff;37.43037841648566;55.75357333579528;POLYGON ((37.41112499408296 55.74822357793282, 37.42785989283999 55.740868597571826, 37.4471147305144 55.74621562662404, 37.44963993227334 55.75892086375636, 37.43289854888388 55.76627785918358, 37.41363844866145 55.760927601579255, 37.41112499408296 55.74822357793282));1.36437;11.944085527097442;крылатское;45268560000;7.03;40.8;18;6;4;3;8;0.6668400552497983;0.5259704900324069;24;6;55;19;0.526275233319458;32550;25057;21104;67545;74675;63243;101;269;0.7698003072196621;82400;176536;10905;31.99;246;35664;211111;37500;112;51;79;13.42;22.3;6860;82400;59.01;6.3;9.0;11.97;8.8;2.7;22851;16753
31328;52;Hexagon_7;8711aa449ffffff;8611aa44fffffff;37.45216674731486;55.77162588512031;POLYGON ((37.43289854888388 55.76627785918358, 37.44963993227334 55.75892086375636, 37.46890954219392 55.764266158761544, 37.47144304470199 55.7769716763332, 37.4546951771756 55.78433068939759, 37.43542029156683 55.77898216641886, 37.43289854888388 55.76627785918358));1.36437;10.75081082365191;крылатское;45268560000;7.03;40.8;18;10;7;1;8;0.7050263297596022;0.5641567645422109;28;4;46;32;0.4467010437617438;503;252;17838;57093;59027;45892;107;326;0.5009940357852882;82400;176536;10905;31.99;246;35664;211111;37500;112;51;79;13.42;22.3;6860;82400;59.01;6.3;9.0;11.97;8.8;2.7;22851;16753
31329;56;Hexagon_7;8711aa44dffffff;8611aa44fffffff;37.41615350899435;55.77363141000525;POLYGON ((37.39689482870403 55.76827842321352, 37.41363844866145 55.760927601579255, 37.43289854888388 55.76627785918358, 37.43542029156683 55.77898216641886, 37.41867017661123 55.78633500189353, 37.399404814268145 55.78098151545897, 37.39689482870403 55.76827842321352));1.36437;13.015656865212879;крылатское;45268560000;7.03;40.8;6;4;5;1;5;0.47295152157545894;0.42599499983632855;10;1;41;21;0.267064609746704;11441;8802;9429;30182;29535;27178;45;197;0.7693383445503016;82400;176536;10905;31.99;246;35664;211111;37500;112;51;79;13.42;22.3;6860;82400;59.01;6.3;9.0;11.97;8.8;2.7;22851;16753
31802;96;Hexagon_7;8711aa4e9ffffff;8611aa4efffffff;37.465398314944004;55.65524547429523;POLYGON ((37.44618063707051 55.64990690727344, 37.462874274460276 55.642537345282676, 37.482093352834845 55.647873187122705, 37.48462404520833 55.66058181814348, 37.4679239639586 55.66795339754555, 37.44869963447861 55.66261432768573, 37.44618063707051 55.64990690727344));1.36437;14.713188498120262;тропарёво-никулино;45268592000;6.03;41.5;38;19;15;7;10;1.1188175376124172;0.8214262332645912;57;5;72;45;0.6304908364487981;47992;27660;37784;120941;132268;109016;146;377;0.5763460576762793;122600;94606;16456;30.88;221;49249;210643;35000;98;56;62;12.6;23.9;10956;122600;64.17;6.4;7.9;11.32;27.3;1.5;23098;23969
32646;19;Hexagon_7;871181b69ffffff;861181b6fffffff;37.71700343765925;55.64074109809141;POLYGON ((37.69771986504535 55.63543730531624, 37.71439749491307 55.6280246067806, 37.73368240917011 55.633325662369984, 37.73629503892067 55.64604263747026, 37.7196110412575 55.65345737978172, 37.7003207818633 55.64815310238186, 37.69771986504535 55.63543730531624));1.36437;14.006816430844781;марьино;45290572000;7.96;37.6;39;13;12;4;5;1.0949959028759213;0.7897785115715734;52;4;61;29;0.49623352953304983;10846;23096;26897;86077;70579;66415;256;542;2.1294486446616263;253300;55452;5523;64.39;180;2762;148649;31034;8;65;78;20.4;18.7;21319;253300;42.65;6.9;10.7;15.07;-3.1;3.8;39143;43220
32647;169;Hexagon_7;8711aa6b0ffffff;8611aa6b7ffffff;37.774902329932296;55.656638943852464;POLYGON ((37.755594669467854 55.651341920406395, 37.772276311929545 55.64392100651354, 37.79158530168893 55.64921528897523, 37.79421802093872 55.66193370475978, 37.77753002238423 55.66935666873668, 37.758215660883465 55.66405916600777, 37.755594669467854 55.651341920406395));1.36437;14.559394402976944;марьино;45290572000;7.96;37.6;66;24;27;10;4;1.6648051526627925;1.1482834135323576;90;5;91;29;0.655808672209017;11188;19093;39167;125337;112741;98974;239;392;1.7065606006435468;253300;55452;5523;64.39;180;2762;148649;31034;8;65;78;20.4;18.7;21319;253300;42.65;6.9;10.7;15.07;-3.1;3.8;39143;43220
32648;173;Hexagon_7;8711aa6b4ffffff;8611aa6b7ffffff;37.73890933405159;55.658759402006375;POLYGON ((37.7196110412575 55.65345737978172, 37.73629503892067 55.64604263747026, 37.755594669467854 55.651341920406395, 37.758215660883465 55.66405916600777, 37.74152529614485 55.67147595465094, 37.7222203072853 55.66617345052461, 37.7196110412575 55.65345737978172));1.36437;12.966247404158695;марьино;45290572000;7.96;37.6;100;35;49;15;12;2.4066764229100217;1.624067727257848;135;3;112;73;0.7887963867092523;31726;54296;38062;121810;107140;98602;285;451;1.7114038958582867;253300;55452;5523;64.39;180;2762;148649;31034;8;65;78;20.4;18.7;21319;253300;42.65;6.9;10.7;15.07;-3.1;3.8;39143;43220
33384;15;Hexagon_7;871181b64ffffff;861181b67ffffff;37.57962772768342;55.590854342680636;POLYGON ((37.56040698617508 55.58553535929117, 37.577070088721975 55.57814108585229, 37.596292200207074 55.58345734176988, 37.59885648843284 55.59617109573047, 37.58218699436942 55.60356739778679, 37.562959603852136 55.59824791643515, 37.56040698617508 55.58553535929117));1.36437;18.36326052541468;чертаново южное;45296597000;5.49;40.3;29;8;10;7;3;0.7743033661530229;0.5473468444138925;37;6;46;6;0.4511569688505394;21257;32105;20331;65059;54861;50714;227;308;1.5103260102554452;149200;70184;4361;54.38;141;7269;148901;32000;82;34;63;22.05;16.5;15999;149200;37.37;12.7;8.7;11.07;9.5;-4.0;24075;30020
34013;257;Hexagon_7;8711aa79dffffff;8611aa79fffffff;37.67472691245332;55.70110875834678;POLYGON ((37.65542731892241 55.69579529805158, 37.67213109497945 55.688394989721075, 37.69143204386262 55.69370571162643, 37.6940345612585 55.70641996371979, 37.677324386632435 55.713822312224394, 37.65801809341456 55.70850836762482, 37.65542731892241 55.69579529805158));1.36437;6.815245972839764;южнопортовый;45290594000;6.67;41.3;63;23;73;4;12;1.6752976437000002;1.1822541654391305;86;7;70;76;0.80196206200326;71861;19188;23367;74779;77316;60982;191;426;0.26701548823423;74200;79492;10959;45.39;397;6411;191876;37612;6;76;58;17.16;18.8;16419;74200;44.04;7.7;7.2;12.1;4.9;-0.5;20512;21377
34682;139;Hexagon_7;8711aa680ffffff;8611aa687ffffff;37.85486782746149;55.690524005902795;POLYGON ((37.83552132110957 55.68523557877903, 37.85221328335544 55.677804381746085, 37.87156110264127 55.68309006198942, 37.874222371536014 55.69581015649071, 37.8575240658125 55.703243412480106, 37.8381708348642 55.69795451417129, 37.83552132110957 55.68523557877903));1.36437;16.337147341399003;выхино-жулебино;45290554000;5.46;42.7;100;27;33;19;9;1.992374604519895;1.2097659088677206;127;5;62;46;0.5944016946053506;14353;26043;24461;78280;79946;69639;236;443;1.8144638751480526;224600;78943;8960;58.29;218;2488;141509;29333;37;20;74;23.1;16.7;15016;224600;45.53;9.4;7.3;9.3;12.1;-2.1;36399;35154
34683;142;Hexagon_7;8711aa684ffffff;8611aa687ffffff;37.81882564579557;55.6926633405911;POLYGON ((37.799488498003086 55.687369894795104, 37.81618285188314 55.679944878174425, 37.83552132110957 55.68523557877903, 37.8381708348642 55.69795451417129, 37.82147012644445 55.70538158599929, 37.80212625901066 55.700087666388015, 37.799488498003086 55.687369894795104));1.36437;14.213473787912312;выхино-жулебино;45290554000;5.46;42.7;31;10;5;3;2;0.6428402907944043;0.40023159514223033;41;5;42;19;0.43326635570373195;3839;6342;19652;62890;46594;38391;187;446;1.6519927064339672;224600;78943;8960;58.29;218;2488;141509;29333;37;20;74;23.1;16.7;15016;224600;45.53;9.4;7.3;9.3;12.1;-2.1;36399;35154
34684;159;Hexagon_7;8711aa6a3ffffff;8611aa6a7ffffff;37.804765703800484;55.712805220592536;POLYGON ((37.78542316235515 55.707508555376904, 37.80212625901066 55.700087666388015, 37.82147012644445 55.70538158599929, 37.82411629543383 55.71809961306957, 37.80740683397414 55.72552255607985, 37.78805756853378 55.72022541715823, 37.78542316235515 55.707508555376904));1.36437;12.451803941653989;выхино-жулебино;45290554000;5.46;42.7;87;48;49;10;27;2.324900179967465;1.6440306147500734;135;5;117;150;1.1287815452964587;34529;60030;64502;206479;126099;98824;211;535;1.7385386197109676;224600;78943;8960;58.29;218;2488;141509;29333;37;20;74;23.1;16.7;15016;224600;45.53;9.4;7.3;9.3;12.1;-2.1;36399;35154
35512;108;Hexagon_7;8711aa610ffffff;8611aa617ffffff;37.762513194029026;55.77320058843003;POLYGON ((37.743154472923194 55.76789426314031, 37.75988383904682 55.76048577870168, 37.77924389986373 55.765789357153615, 37.781879992125496 55.77850463942175, 37.76514423030118 55.78591517432138, 37.745778772131246 55.78060837565011, 37.743154472923194 55.76789426314031));1.36437;9.157030481078186;измайлово;45263570000;5.15;41.3;7;1;5;1;2;0.2933118567888794;0.2385292480932272;8;7;47;13;0.5186502872970733;46022;36977;4908;15705;13856;11838;163;488;0.8034635609056539;106500;65288;6902;59.38;307;2182;168635;31579;109;64;82;17.55;18.6;7004;106500;47.8;9.1;7.2;10.0;5.1;-1.9;20305;22968
35513;109;Hexagon_7;8711aa611ffffff;8611aa617ffffff;37.78451777025496;55.79121969690307;POLYGON ((37.76514423030118 55.78591517432138, 37.781879992125496 55.77850463942175, 37.80125486784042 55.783806413050364, 37.803899392619904 55.79652194032831, 37.78715723585865 55.803934528269934, 37.76777694946535 55.798629535048605, 37.76514423030118 55.78591517432138));1.36437;11.083879094011476;измайлово;45263570000;5.15;41.3;69;32;24;10;16;1.7000978755442075;1.1600978755442075;101;7;92;62;0.8451618550404394;15404;26916;32011;102443;126720;103523;172;414;1.7473383536743703;106500;65288;6902;59.38;307;2182;168635;31579;109;64;82;17.55;18.6;7004;106500;47.8;9.1;7.2;10.0;5.1;-1.9;20305;22968
35514;111;Hexagon_7;8711aa613ffffff;8611aa617ffffff;37.798612033510445;55.771090660034695;POLYGON ((37.77924389986373 55.765789357153615, 37.79597088802089 55.75837468260941, 37.81534035284356 55.76367323695008, 37.81798824060818 55.77638968428039, 37.80125486784042 55.783806413050364, 37.781879992125496 55.77850463942175, 37.77924389986373 55.765789357153615));1.36437;11.332439043347353;измайлово;45263570000;5.15;41.3;21;4;4;3;7;0.5410388388860661;0.37669101279910955;25;3;30;18;0.2990003929181369;27355;63346;8732;27942;23360;19665;194;442;2.315700968744288;106500;65288;6902;59.38;307;2182;168635;31579;109;64;82;17.55;18.6;7004;106500;47.8;9.1;7.2;10.0;5.1;-1.9;20305;22968
35515;113;Hexagon_7;8711aa615ffffff;8611aa617ffffff;37.74840474965318;55.79332226394504;POLYGON ((37.72904063578827 55.788012718026756, 37.745778772131246 55.78060837565011, 37.76514423030118 55.78591517432138, 37.76777694946535 55.798629535048605, 37.75103240708841 55.806035926698506, 37.73166155180041 55.800725907505644, 37.72904063578827 55.788012718026756));1.36437;9.129240770415517;измайлово;45263570000;5.15;41.3;36;9;39;4;15;1.027008574606441;0.7452694441716586;45;8;66;57;0.7701224659697882;32476;30881;19444;62226;55117;46629;212;430;0.9508868087202857;106500;65288;6902;59.38;307;2182;168635;31579;109;64;82;17.55;18.6;7004;106500;47.8;9.1;7.2;10.0;5.1;-1.9;20305;22968
36328;247;Hexagon_7;8711aa792ffffff;8611aa797ffffff;37.62324006529133;55.626913501950575;POLYGON ((37.60398996309217 55.62159799435464, 37.62066584806407 55.614199661136816, 37.63991731260512 55.619512437057885, 37.64249819759982 55.63222676959404, 37.62581592234564 55.639627136521234, 37.6065591526249 55.634311136370435, 37.60398996309217 55.62159799435464));1.36437;14.167722114235291;чертаново северное;45296593000;5.09;40.3;25;19;38;6;10;1.0983822960119665;0.902730122098923;44;4;71;37;0.5599300333396875;38060;41829;20993;67179;59083;47978;205;436;1.0990278507619549;114500;83403;11411;42.73;184;19014;168750;33333;107;62;76;21.23;17.2;21205;114500;26.6;6.9;6.6;11.2;9.8;-0.3;23502;23254
36329;251;Hexagon_7;8711aa796ffffff;8611aa797ffffff;37.58731041709372;55.62899289753891;POLYGON ((37.56806971506746 55.623672423068236, 37.58474789032419 55.61628024984734, 37.60398996309217 55.62159799435464, 37.6065591526249 55.634311136370435, 37.58987457622609 55.641705339538184, 37.570627211690905 55.63638436991163, 37.56806971506746 55.623672423068236));1.36437;14.091644393891736;чертаново северное;45296593000;5.09;40.3;57;15;16;4;11;1.1440866864637995;0.6979997299420604;72;5;61;35;0.5567437006664048;20714;24343;32660;104512;103984;80782;184;428;1.175195519938206;114500;83403;11411;42.73;184;19014;168750;33333;107;62;76;21.23;17.2;21205;114500;26.6;6.9;6.6;11.2;9.8;-0.3;23502;23254
36674;190;Hexagon_7;8711aa70effffff;8611aa70fffffff;37.561455336120524;55.8618665032308;POLYGON ((37.54211303335626 55.85652725000588, 37.55888683211142 55.849160140607815, 37.57823052721906 55.85449665227394, 37.58080576565155 55.86720349753213, 37.56402548551065 55.87457263747889, 37.5446764485878 55.86923290077803, 37.54211303335626 55.85652725000588));1.36437;12.552605387600169;бескудниковский;45277559000;6.52;43.1;76;31;32;9;13;1.7502350375803946;1.1554524288847425;107;6;67;59;0.6959625716297544;30197;50619;33587;107500;85737;74654;288;583;1.6762923469218796;78400;92442;2239;60.91;159;648;162500;30270;27;56;79;25.4;20.1;23931;78400;36.55;6.2;8.8;11.1;21.8;2.6;19865;23960
37108;202;Hexagon_7;8711aa71cffffff;8611aa71fffffff;37.55375475396133;55.82374673551965;POLYGON ((37.534432626221474 55.818408938370034, 37.55119117668784 55.811039695695854, 37.57051469597459 55.8163747538052, 37.57308499395139 55.82908227908926, 37.556319971914085 55.83645355093051, 37.53699112373676 55.831115267481714, 37.534432626221474 55.818408938370034));1.36437;8.810080034796286;тимирязевский;45277592000;5.8;39.0;26;9;12;2;10;0.8035813739010881;0.6001031130315231;35;9;54;26;0.6701477527805766;33929;25505;16444;52625;44703;36429;241;476;0.7517168204191105;83500;97447;9954;49.5;307;81234;234166;35000;64;43;65;16.27;19.5;8019;83500;55.99;11.7;7.0;13.34;8.7;-4.7;53596;55459
37109;203;Hexagon_7;8711aa71dffffff;8611aa71fffffff;37.57565693717629;55.841789579019256;POLYGON ((37.556319971914085 55.83645355093051, 37.57308499395139 55.82908227908926, 37.5924233468984 55.83441556601197, 37.595002020229735 55.84712334867913, 37.57823052721906 55.85449665227394, 37.55888683211142 55.849160140607815, 37.556319971914085 55.83645355093051));1.36437;10.155945821095957;тимирязевский;45277592000;5.8;39.0;38;21;33;0;30;1.3788179467911137;1.0814266424432877;59;11;82;97;1.0817882443561784;52999;56503;15949;51036;40621;35233;218;530;1.0661144549897168;83500;97447;9954;49.5;307;81234;234166;35000;64;43;65;16.27;19.5;8019;83500;55.99;11.7;7.0;13.34;8.7;-4.7;53596;55459
37709;48;Hexagon_7;8711aa442ffffff;8611aa447ffffff;37.36515165123783;55.69940706111422;POLYGON ((37.3459424674186 55.69405215252244, 37.36265790948559 55.68670320197282, 37.381868519829595 55.69205538810974, 37.38436891171117 55.704759754236775, 37.36764698363335 55.71211071216277, 37.34843114999242 55.70675529575618, 37.3459424674186 55.69405215252244));1.36437;17.16903511063553;можайский;45268569000;6.64;39.4;6;4;2;0;1;0.40797779084777547;0.36102126910864507;10;0;16;2;0.06878557173479194;8879;8262;0;0;0;0;54;134;0.9305101925892555;137400;109174;16640;48.22;288;124355;173039;32000;30;5;63;30.58;19.5;12837;137400;36.79;10.6;9.0;14.86;11.2;-1.6;27325;30980
37710;49;Hexagon_7;8711aa443ffffff;8611aa447ffffff;37.386870898739986;55.7174639113425;POLYGON ((37.36764698363335 55.71211071216277, 37.38436891171117 55.704759754236775, 37.40359424960709 55.71011022884457, 37.40610289608054 55.72281489024808, 37.389374482433404 55.730167858109915, 37.37014390818508 55.72481415380197, 37.36764698363335 55.71211071216277));1.36437;15.240208106425046;можайский;45268569000;6.64;39.4;34;15;19;3;11;1.0596572452382274;0.7935702887164882;49;1;62;30;0.3769008873725448;13135;10114;14376;46255;52845;49705;109;173;0.770003806623525;137400;109174;16640;48.22;288;124355;173039;32000;30;5;63;30.58;19.5;12837;137400;36.79;10.6;9.0;14.86;11.2;-1.6;27325;30980
37711;62;Hexagon_7;8711aa455ffffff;8611aa457ffffff;37.34345537098832;55.681348802123175;POLYGON ((37.32426090356251 55.67599219160333, 37.34096985919501 55.668645245874345, 37.360165756865634 55.67399913605498, 37.36265790948559 55.68670320197282, 37.3459424674186 55.69405215252244, 37.32674135947842 55.68869503150568, 37.32426090356251 55.67599219160333));1.36437;19.211664901299432;можайский;45268569000;6.64;39.4;4;0;0;0;1;0.3192864012484575;0.28798205342237054;4;0;11;2;0.049207258481779884;2776;6064;0;0;0;0;42;145;2.1844380403458215;137400;109174;16640;48.22;288;124355;173039;32000;30;5;63;30.58;19.5;12837;137400;36.79;10.6;9.0;14.86;11.2;-1.6;27325;30980
